2026-04-12 19:57:32.113332 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000223
2026-04-12 19:57:33.114628 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000153
2026-04-12 19:57:34.116037 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000046
2026-04-12 19:57:37.124264 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000210
2026-04-12 19:57:38.125671 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000156
2026-04-12 19:57:39.126854 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000115
2026-04-12 19:57:40.128018 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000173
2026-04-12 19:57:41.129669 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000087
2026-04-12 19:57:42.145853 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010787
2026-04-12 19:57:45.158829 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.011026
2026-04-12 19:57:47.137464 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000243
2026-04-12 19:57:48.139024 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000209
2026-04-12 19:57:49.140424 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000122
2026-04-12 19:57:50.141993 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000187
2026-04-12 19:57:51.143673 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000177
2026-04-12 19:57:52.348864 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200733
2026-04-12 19:57:55.551589 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.201114
2026-04-12 19:57:57.148395 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000033
2026-04-12 19:57:58.149735 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000166
2026-04-12 19:57:59.150888 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000040
2026-04-12 19:58:00.152266 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000070
2026-04-12 19:58:01.154203 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000198
